request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_188,119.36,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2464 request. Although EUR 119.36 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,707.20,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,Pay EUR 2557.50 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1600 minimum.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,220.45,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2046 request. Although USD 220.45 is available today, the full amount cannot be completed safely within 90 days."
request_193,209.97,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1000 available."
request_194,38836.73,affordable_later,wait,2025-10-15:132800,2025-10-15,none,Pay INR 132800 in full on 2025-10-15. Paying earlier would take the balance below the INR 113600 minimum.
request_195,681.22,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1170.40 request. Although EUR 681.22 is available today, the full amount cannot be completed safely within 90 days."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,11823048.14,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50939000 request. Although IDR 11823048.14 is available today, the full amount cannot be completed safely within 90 days."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,5860.98,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,3682072.62,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4413000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10470700 minimum.
request_209,1850.75,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56914 request. Although ZAR 1850.75 is available today, the full amount cannot be completed safely within 90 days."
request_210,952.54,affordable_with_plan,partial_payment,2026-04-06:952.54|2026-04-15:407.48,2026-04-15,none,Pay USD 952.54 today and the remaining USD 407.48 on 2026-04-15. This completes the full request and keeps the USD 2000 minimum protected.
request_211,326.39,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,Pay EUR 1788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,5504505.26,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71934000 request. Although IDR 5504505.26 is available today, the full amount cannot be completed safely within 90 days."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 2100 available."
request_214,69749.18,affordable_with_plan,partial_payment,2024-12-04:69749.18|2024-12-15:0.82,2024-12-15,none,Pay INR 69749.18 today and the remaining INR 0.82 on 2024-12-15. This completes the full request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 15700 available."
request_216,611.82,affordable_later,wait,2026-08-15:3332.40,2026-08-15,none,Pay USD 3332.40 in full on 2026-08-15. Paying earlier would take the balance below the USD 1800 minimum.
request_217,22874.52,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 26800 available."
request_218,27313742.44,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 34477200 available."
request_219,792.56,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1100 available."
request_220,179,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3118.50 request. Although EUR 179 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,740.70,affordable_with_plan,full_payment,2024-09-07:898.70,,reduce_to:event_20502:18.50|reduce_to:event_20505:18.50|reduce_to:event_20508:18.50,"Adjust spending (reduce_to:event_20502:18.50|reduce_to:event_20505:18.50|reduce_to:event_20508:18.50), then pay EUR 898.70 today. This leaves at least EUR 800 available."
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This leaves at least IDR 22187600 available."
request_225,9130297.95,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 2026-07-20. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,12595.85,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259700 request. Although INR 12595.85 is available today, the full amount cannot be completed safely within 90 days."
request_228,3680278.22,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63327000 request. Although IDR 3680278.22 is available today, the full amount cannot be completed safely within 90 days."
request_229,630.19,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1000 available."
request_230,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-04. None of the available options keeps the EUR 2000 minimum protected.
request_231,35128.46,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 24300 available."
request_232,795.69,affordable_later,wait,2024-07-15:1970.10,2024-07-15,none,Pay EUR 1970.10 in full on 2024-07-15. Paying earlier would take the balance below the EUR 2400 minimum.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10365700 minimum protected.
request_234,273.32,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,Pay EUR 1213.30 in full on 2026-08-15. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5876939.57,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52383000 request. Although IDR 5876939.57 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-16. None of the available options keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,20020,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101200 request. Although INR 20020 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 19252000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,34764.15,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Pay INR 128500 in full on 2025-12-15. Paying earlier would take the balance below the INR 94600 minimum.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,1019.43,affordable_with_plan,partial_payment,2025-02-07:1019.43|2025-03-15:946.17,2025-03-15,none,Pay USD 1019.43 today and the remaining USD 946.17 on 2025-03-15. This completes the full request and keeps the USD 1300 minimum protected.
request_249,185.31,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 643.20 request. Although USD 185.31 is available today, the full amount cannot be completed safely within 90 days."
request_250,17404.90,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124278 request. Although ZAR 17404.90 is available today, the full amount cannot be completed safely within 90 days."
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1300 minimum protected.
request_252,5655701.89,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Pay IDR 28082000 in full on 2026-08-15. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,1635.50,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2300 available."
request_254,813.65,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,Pay USD 3535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This leaves at least IDR 9813900 available over the next 90 days.
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75816, starting 2024-06-10. This leaves at least INR 168600 available."
request_257,440.09,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,Pay USD 1352.40 in full on 2026-01-15. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This leaves at least USD 500 available over the next 90 days.
request_259,246.42,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_260,9757646.09,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52079000 request. Although IDR 9757646.09 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-24. None of the available options keeps the IDR 31018500 minimum protected.
request_263,9167.54,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51546 request. Although ZAR 9167.54 is available today, the full amount cannot be completed safely within 90 days."
request_264,26798.22,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Pay INR 111300 in full on 2026-05-15. Paying earlier would take the balance below the INR 59500 minimum.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This leaves at least INR 189700 available over the next 90 days.
request_266,539.35,not_affordable,not_recommended,none,2025-10-15,none,"Do not proceed with the EUR 935 request. Although EUR 539.35 is available today, the full amount cannot be completed safely within 90 days."
request_267,1791.56,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1500 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1400 available."
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23100 minimum protected.
request_270,226.30,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed with the USD 3028.80 request. Although USD 226.30 is available today, the full amount cannot be completed safely within 90 days."
request_271,25768.81,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Pay INR 91300 in full on 2024-11-15. Paying earlier would take the balance below the INR 58200 minimum.
request_272,6067911.95,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7508600 available."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Pay IDR 10756514.78 today and the remaining IDR 5104485.22 on 2026-04-15. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2567.40,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
